upgrade_id	pillar_id	pillar_name	upgrade_point	elevation_type	manuscript_role	evidence_gate	current_status	next_action	claim_boundary	priority_tier
P09.09	P09	Claim-state stability theory	Elevate reproducibility from repeated ranks to repeated allowed claims.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier2_supporting_frame
P09.10	P09	Claim-state stability theory	Use stability theory to justify the rechartered method object.	from stable score to stable allowed interpretation	conceptual contribution	leave-one-method and external integration summaries	implemented_in_executable_recharter_chain	Extend permission-stability analysis to additional external datasets and empirical row-level perturbations.	a stable score is insufficient unless the allowed claim is stable	tier2_supporting_frame
P10.01	P10	Generalizable claim-aware computational biology	Position PGAA as one implementation of claim-aware computational biology.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.02	P10	Generalizable claim-aware computational biology	Map the framework to perturb-seq benchmarking.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.03	P10	Generalizable claim-aware computational biology	Map the framework to drug-response ranking.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.04	P10	Generalizable claim-aware computational biology	Map the framework to CRISPR screen interpretation.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.05	P10	Generalizable claim-aware computational biology	Map the framework to single-cell atlas comparison.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.06	P10	Generalizable claim-aware computational biology	Map the framework to biomarker prioritization.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.07	P10	Generalizable claim-aware computational biology	Reserve immunology applications for event-backed evidence layers.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.08	P10	Generalizable claim-aware computational biology	Define domain transfer as reuse of compiler semantics, not reuse of claims.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.09	P10	Generalizable claim-aware computational biology	Use the benchmark matrix to show which transfers are ready or blocked.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P10.10	P10	Generalizable claim-aware computational biology	Make broader applicability a framework claim rather than an empirical overclaim.	from PGAA-specific rescue to reusable methodological class	discussion and positioning	route decision and benchmark matrix	strategy_defined_needs_manuscript_integration	Limit generalization to reusable compiler semantics unless new domain gates are built.	generalization is conceptual until each domain has its own evidence gates	tier2_supporting_frame
P11.01	P11	Reviewer-facing governance	Turn desk-reject risks into named governance gates.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.02	P11	Reviewer-facing governance	Use route selection to justify the computational methods framing.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.03	P11	Reviewer-facing governance	Keep top-journal ambition tied to evidence contracts.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.04	P11	Reviewer-facing governance	Record why immune-discovery framing remains blocked.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.05	P11	Reviewer-facing governance	Record why stable resistance-state bifurcation is the current route, with failure-preserving benchmark governance as the support layer.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.06	P11	Reviewer-facing governance	Expose next decisive actions instead of hiding work remaining.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.07	P11	Reviewer-facing governance	Use journal-style drafts only after claim audit passes.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.08	P11	Reviewer-facing governance	Make reviewer skepticism part of the design target.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.09	P11	Reviewer-facing governance	Preserve blocked rows so reviewers can see restraint.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P11.10	P11	Reviewer-facing governance	Use governance language to raise perceived maturity of the method.	from defensive limitations to predeclared governance	editorial risk reduction	readiness audit, route selector, and benchmark matrix	strategy_defined_needs_manuscript_integration	Use route and readiness artifacts as reviewer-facing governance evidence.	route claims must match readiness state	tier2_supporting_frame
P12.01	P12	Epistemic inflation control	Frame the problem as evidentiary inflation in single-cell perturbation reports.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.02	P12	Epistemic inflation control	Argue that rankings alone cannot control downstream claims.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.03	P12	Epistemic inflation control	Show that PGAA prevents computational support from becoming biological assertion.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.04	P12	Epistemic inflation control	Use blocked and failed states to reduce false narrative certainty.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.05	P12	Epistemic inflation control	Make the method's value a reduction in unsupported claim promotion.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.06	P12	Epistemic inflation control	Connect claim ceilings to reproducibility and reviewability.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.07	P12	Epistemic inflation control	Treat transparency as an operational method property.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.08	P12	Epistemic inflation control	Make the paper about responsible computational inference.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.09	P12	Epistemic inflation control	Use the external Replogle layer as proof that claim ceilings can update without overclaiming.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
P12.10	P12	Epistemic inflation control	Present PGAA as infrastructure for claim-safe perturbation biology.	from better analysis to control of evidentiary inflation	highest-level thesis	all claim, figure, audit, and external status artifacts	implemented_in_executable_recharter_chain	Estimate unsupported claim promotion under additional external datasets and prospective reporting decisions.	the paper claims controlled interpretation, not unbounded discovery	tier1_core_thesis
